onset,pitch,velocity,voice_id,linear_compensated,powerlaw_compensated,logarithmic_compensated,latency_linear,latency_powerlaw,latency_logarithmic,dev_lin_pow,dev_lin_log,dev_pow_log,max_deviation,Fragment,velocity_bin
0.0,36,150,1,-27.067448680351905,-29.57000713788151,-15.523190521349843,27.067448680351905,29.57000713788151,15.523190521349843,2.502558457529606,11.544258159002062,14.046816616531668,14.046816616531668,Fragment_1_Arpeggio_Crescendo,"(100, 200]"
30.0,40,200,1,3.9100684261974585,0.7644317548773145,15.302103382357856,26.08993157380254,29.235568245122685,14.697896617642144,3.145636671320144,11.392034956160398,14.537671627480542,14.537671627480542,Fragment_1_Arpeggio_Crescendo,"(100, 200]"
60.0,43,250,1,34.887585532746826,31.194424616995803,45.94308710790155,25.112414467253178,28.805575383004197,14.056912892098456,3.6931609157510223,11.055501575154722,14.748662490905744,14.748662490905744,Fragment_1_Arpeggio_Crescendo,"(200, 300]"
90.0,48,300,1,65.8651026392962,61.719971448473956,76.4672393535194,24.13489736070381,28.280028551526044,13.532760646480597,4.145131190822241,10.602136714223207,14.747267905045447,14.747267905045447,Fragment_1_Arpeggio_Crescendo,"(200, 300]"
120.0,52,350,1,96.84261974584555,92.34107224931176,106.91065444060912,23.157380254154447,27.65892775068823,13.089345559390878,4.501547496533789,10.068034694763568,14.569582191297357,14.569582191297357,Fragment_1_Arpeggio_Crescendo,"(300, 400]"
150.0,55,400,1,127.82013685239491,123.05772701950926,137.29491685290984,22.179863147605083,26.942272980490745,12.70508314709016,4.762409832885652,9.474780000514926,14.237189833400578,14.237189833400578,Fragment_1_Arpeggio_Crescendo,"(300, 400]"
180.0,60,450,1,158.7976539589443,153.8699357590664,167.63396724651076,21.20234604105572,26.1300642409336,12.36603275348924,4.927718199877887,8.836313287566469,13.764031487444356,13.764031487444356,Fragment_1_Arpeggio_Crescendo,"(400, 500]"
210.0,64,500,1,189.77517106549365,184.7776984679832,197.93733358639042,20.224828934506355,25.22230153201679,12.062666413609584,4.997472597510438,8.162162520896771,13.15963511840721,13.15963511840721,Fragment_1_Arpeggio_Crescendo,"(400, 500]"
240.0,67,550,1,220.752688172043,215.78101514625968,228.21181701714232,19.24731182795699,24.218984853740317,11.788182982857688,4.971673025783332,7.459128845099315,12.430801870882647,12.430801870882647,Fragment_1_Arpeggio_Crescendo,"(500, 600]"
270.0,72,600,1,251.73020527859236,246.87988579389582,258.46244236142235,18.269794721407624,23.120114206104176,11.537557638577628,4.850319484696541,6.7322370828299825,11.582556567526524,11.582556567526524,Fragment_1_Arpeggio_Crescendo,"(500, 600]"
300.0,76,650,1,282.7077223851417,278.0743104108916,288.6930274663313,17.29227761485826,21.925689589108377,11.30697253366873,4.633411974250123,5.985305081189551,10.618717055439674,10.618717055439674,Fragment_1_Arpeggio_Crescendo,"(600, 700]"
330.0,79,700,1,313.6852394916911,309.36428899724706,318.9065412680213,16.314760508308897,20.635711002752913,11.093458731978753,4.320950494444048,5.221301776330165,9.542252270774213,9.542252270774213,Fragment_1_Arpeggio_Crescendo,"(600, 700]"
360.0,84,750,1,344.6627565982405,340.7498215529622,349.10533819502854,15.33724340175953,19.250178447037776,10.894661804971456,3.9129350452782887,4.442581596788045,8.355516642066334,8.355516642066334,Fragment_1_Arpeggio_Crescendo,"(700, 800]"
390.0,88,800,1,375.6402737047898,372.23090807803703,379.2913168648174,14.359726295210166,17.769091921962985,10.708683135182582,3.4093656267527876,3.651043160027598,7.0604087867803855,7.0604087867803855,Fragment_1_Arpeggio_Crescendo,"(700, 800]"
420.0,91,850,1,406.6177908113392,403.8075485724715,409.46603064337194,13.382209188660802,16.192451427528525,10.533969356628077,2.8102422388677155,2.848239832032732,5.6584820709004475,5.6584820709004475,Fragment_1_Arpeggio_Crescendo,"(800, 900]"
450.0,96,900,1,437.5953079178886,435.4797430362656,439.6307665916271,12.404692082111438,14.5202569637344,10.369233408372924,2.1155648816230155,2.0354586737385034,4.151023555361519,4.151023555361519,Fragment_1_Arpeggio_Crescendo,"(800, 900]"
0.0,48,100,1,-28.044965786901273,-29.808892061280673,-16.68357703449641,28.044965786901273,29.808892061280673,16.68357703449641,1.7639262743794006,11.361388752404864,13.125315026784264,13.125315026784264,Fragment_2_Chord_Cluster,"(0, 100]"
0.0,50,250,1,-25.112414467253178,-28.805575383004197,-14.056912892098456,25.112414467253178,28.805575383004197,14.056912892098456,3.693160915751019,11.055501575154722,14.74866249090574,14.74866249090574,Fragment_2_Chord_Cluster,"(200, 300]"
0.0,51,600,1,-18.269794721407624,-23.120114206104176,-11.537557638577628,18.269794721407624,23.120114206104176,11.537557638577628,4.850319484696552,6.732237082829997,11.582556567526549,11.582556567526549,Fragment_2_Chord_Cluster,"(500, 600]"
0.0,52,850,1,-13.382209188660802,-16.192451427528525,-10.533969356628077,13.382209188660802,16.192451427528525,10.533969356628077,2.8102422388677226,2.848239832032725,5.6584820709004475,5.6584820709004475,Fragment_2_Chord_Cluster,"(800, 900]"
0.0,54,950,1,-11.427174975562075,-12.752508530580617,-10.213396938278873,11.427174975562075,12.752508530580617,10.213396938278873,1.3253335550185419,1.2137780372832019,2.5391115923017438,2.5391115923017438,Fragment_2_Chord_Cluster,"(900, 1000]"
0.0,60,120,1,-27.653958944281523,-29.724804568244167,-16.16227352545081,27.653958944281523,29.724804568244167,16.16227352545081,2.0708456239626436,11.491685418830713,13.562531042793356,13.562531042793356,Fragment_2_Chord_Cluster,"(100, 200]"
0.0,62,300,1,-24.13489736070381,-28.280028551526044,-13.532760646480597,24.13489736070381,28.280028551526044,13.532760646480597,4.145131190822234,10.602136714223214,14.747267905045447,14.747267905045447,Fragment_2_Chord_Cluster,"(200, 300]"
0.0,63,700,1,-16.314760508308897,-20.635711002752913,-11.093458731978753,16.314760508308897,20.635711002752913,11.093458731978753,4.320950494444016,5.221301776330144,9.54225227077416,9.54225227077416,Fragment_2_Chord_Cluster,"(600, 700]"
0.0,65,800,1,-14.359726295210166,-17.769091921962985,-10.708683135182582,14.359726295210166,17.769091921962985,10.708683135182582,3.4093656267528196,3.6510431600275837,7.060408786780403,7.060408786780403,Fragment_2_Chord_Cluster,"(700, 800]"
0.0,67,1000,1,-10.449657869012707,-10.889206128067162,-10.065547482328014,10.449657869012707,10.889206128067162,10.065547482328014,0.4395482590544546,0.3841103866846929,0.8236586457391475,0.8236586457391475,Fragment_2_Chord_Cluster,"(900, 1000]"
0.0,60,80,1,-28.435972629521018,-29.87769091921963,-17.32029999423075,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896986134,11.115672635290267,12.55739092498888,12.55739092498888,Fragment_3_Hocketing,"(0, 100]"
25.0,74,980,2,14.159335288367547,13.354006434604297,14.876218652438475,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632497,0.7168833640709273,1.522212217834177,1.522212217834177,Fragment_3_Hocketing,"(900, 1000]"
50.0,64,80,1,21.564027370478982,20.12230908078037,32.67970000576925,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896986134,11.115672635290267,12.55739092498888,12.55739092498888,Fragment_3_Hocketing,"(0, 100]"
75.0,78,980,2,64.15933528836754,63.3540064346043,64.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632426,0.7168833640709238,1.5222122178341664,1.5222122178341664,Fragment_3_Hocketing,"(900, 1000]"
100.0,60,80,1,71.56402737047898,70.12230908078037,82.67970000576925,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896986134,11.115672635290267,12.55739092498888,12.55739092498888,Fragment_3_Hocketing,"(0, 100]"
125.0,74,980,2,114.15933528836754,113.3540064346043,114.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632426,0.7168833640709238,1.5222122178341664,1.5222122178341664,Fragment_3_Hocketing,"(900, 1000]"
150.0,64,80,1,121.56402737047898,120.12230908078037,132.67970000576923,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896986134,11.115672635290252,12.557390924988866,12.557390924988866,Fragment_3_Hocketing,"(0, 100]"
175.0,78,980,2,164.15933528836754,163.3540064346043,164.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632568,0.7168833640709238,1.5222122178341806,1.5222122178341806,Fragment_3_Hocketing,"(900, 1000]"
200.0,60,80,1,171.56402737047898,170.12230908078038,182.67970000576923,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896985992,11.115672635290252,12.557390924988852,12.557390924988852,Fragment_3_Hocketing,"(0, 100]"
225.0,74,980,2,214.15933528836754,213.3540064346043,214.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632568,0.7168833640709238,1.5222122178341806,1.5222122178341806,Fragment_3_Hocketing,"(900, 1000]"
250.0,64,80,1,221.56402737047898,220.12230908078038,232.67970000576923,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896985992,11.115672635290252,12.557390924988852,12.557390924988852,Fragment_3_Hocketing,"(0, 100]"
275.0,78,980,2,264.1593352883676,263.3540064346043,264.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632852,0.7168833640708954,1.5222122178341806,1.5222122178341806,Fragment_3_Hocketing,"(900, 1000]"
300.0,60,80,1,271.564027370479,270.1223090807804,282.67970000576923,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896985992,11.115672635290252,12.557390924988852,12.557390924988852,Fragment_3_Hocketing,"(0, 100]"
325.0,74,980,2,314.1593352883676,313.3540064346043,314.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632852,0.7168833640708954,1.5222122178341806,1.5222122178341806,Fragment_3_Hocketing,"(900, 1000]"
350.0,64,80,1,321.564027370479,320.1223090807804,332.67970000576923,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896985992,11.115672635290252,12.557390924988852,12.557390924988852,Fragment_3_Hocketing,"(0, 100]"
375.0,78,980,2,364.1593352883676,363.3540064346043,364.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632852,0.7168833640708954,1.5222122178341806,1.5222122178341806,Fragment_3_Hocketing,"(900, 1000]"
400.0,60,80,1,371.564027370479,370.1223090807804,382.67970000576923,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896985992,11.115672635290252,12.557390924988852,12.557390924988852,Fragment_3_Hocketing,"(0, 100]"
425.0,74,980,2,414.1593352883676,413.3540064346043,414.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632852,0.7168833640708954,1.5222122178341806,1.5222122178341806,Fragment_3_Hocketing,"(900, 1000]"
450.0,64,80,1,421.564027370479,420.1223090807804,432.67970000576923,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896985992,11.115672635290252,12.557390924988852,12.557390924988852,Fragment_3_Hocketing,"(0, 100]"
475.0,78,980,2,464.1593352883676,463.3540064346043,464.87621865243847,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632852,0.7168833640708954,1.5222122178341806,1.5222122178341806,Fragment_3_Hocketing,"(900, 1000]"
0.0,64,200,1,-26.08993157380254,-29.235568245122685,-14.697896617642144,26.08993157380254,29.235568245122685,14.697896617642144,3.145636671320144,11.392034956160398,14.537671627480542,14.537671627480542,Fragment_4_Tremolo,"(100, 200]"
15.0,64,228,1,-10.542521994134898,-14.006544491361442,0.6784075761938873,25.542521994134898,29.006544491361442,14.321592423806113,3.4640224972265443,11.220929570328785,14.68495206755533,14.68495206755533,Fragment_4_Tremolo,"(200, 300]"
30.0,64,256,1,5.004887585532746,1.2524449871909908,16.011249098387754,24.995112414467254,28.74755501280901,13.988750901612246,3.752442598341755,11.006361512855008,14.758804111196763,14.758804111196763,Fragment_4_Tremolo,"(200, 300]"
45.0,64,284,1,20.55229716520039,16.541400190534613,31.30963621810421,24.44770283479961,28.458599809465387,13.69036378189579,4.010896974665776,10.75733905290382,14.768236027569596,14.768236027569596,Fragment_4_Tremolo,"(200, 300]"
60.0,64,313,1,36.11925708699902,31.87226536483939,46.58924149778325,23.88074291300098,28.12773463516061,13.410758502216748,4.246991722159631,10.469984410784228,14.71697613294386,14.71697613294386,Fragment_4_Tremolo,"(300, 400]"
75.0,64,341,1,51.666666666666664,47.22222222222222,61.835705029771795,23.333333333333336,27.77777777777778,13.164294970228205,4.444444444444443,10.16903836310513,14.613482807549573,14.613482807549573,Fragment_4_Tremolo,"(300, 400]"
90.0,64,369,1,67.21407624633432,62.60214480439625,77.06276292103263,22.78592375366569,27.397855195603753,12.937237078967378,4.611931441938069,9.848686674698314,14.460618116636383,14.460618116636383,Fragment_4_Tremolo,"(300, 400]"
105.0,64,397,1,82.76148582600196,78.01203311136146,92.2732492410873,22.238514173998045,26.98796688863854,12.7267507589127,4.749452714640498,9.51176341508534,14.261216129725838,14.261216129725838,Fragment_4_Tremolo,"(300, 400]"
120.0,64,426,1,98.32844574780059,93.46815042870288,107.47618451924097,21.671554252199414,26.531849571297116,12.523815480759023,4.860295319097702,9.147738771440387,14.00803409053809,14.00803409053809,Fragment_4_Tremolo,"(400, 500]"
135.0,64,454,1,113.87585532746823,108.93904038970732,122.65944547017212,21.12414467253177,26.06095961029269,12.340554529827884,4.936814937760914,8.783590142703886,13.7204050804648,13.7204050804648,Fragment_4_Tremolo,"(400, 500]"
150.0,64,482,1,129.4232649071359,124.43989607550293,137.83175875767154,20.576735092864126,25.560103924497074,12.168241242328456,4.9833688316329585,8.408493850535649,13.391862682168608,13.391862682168608,Fragment_4_Tremolo,"(400, 500]"
165.0,64,510,1,144.97067448680352,139.97071748608974,152.99435896187524,20.029325513196483,25.029282513910267,12.005641038124757,4.999957000713778,8.023684475071718,13.023641475785496,13.023641475785496,Fragment_4_Tremolo,"(500, 600]"
180.0,64,539,1,160.53763440860214,155.5520869464678,168.15363119410165,19.462365591397848,24.4479130535322,11.84636880589834,4.985547462134349,7.6159967854995045,12.601544247633854,12.601544247633854,Fragment_4_Tremolo,"(500, 600]"
195.0,64,567,1,176.0850439882698,171.14391001109382,183.29949423900936,18.914956011730204,23.856089988906184,11.700505760990637,4.94113397717598,7.21445025073956,12.15558422791554,12.15558422791554,Fragment_4_Tremolo,"(500, 600]"
210.0,64,595,1,191.63245356793743,186.76569880051102,198.43833704092432,18.36754643206256,23.234301199488975,11.56166295907568,4.866754767426414,6.805883472986892,11.672638240413306,11.672638240413306,Fragment_4_Tremolo,"(500, 600]"
225.0,64,623,1,207.1798631476051,202.4174533147194,213.5708044377245,17.820136852394917,22.58254668528058,11.429195562275506,4.76240983288568,6.3909412901194,11.15335112300508,11.15335112300508,Fragment_4_Tremolo,"(600, 700]"
240.0,64,652,1,222.74682306940372,218.12407491813414,228.70187836309287,17.253176930596286,21.875925081865866,11.29812163690714,4.622748151269576,5.955055293689156,10.577803444958732,10.577803444958732,Fragment_4_Tremolo,"(600, 700]"
255.0,64,680,1,238.29423264907135,233.83683108638175,243.82302197602414,16.705767350928642,21.163168913618257,11.17697802397586,4.457401562689597,5.52878932695279,9.986190889642387,9.986190889642387,Fragment_4_Tremolo,"(600, 700]"
270.0,64,708,1,253.841642228739,249.57955297942055,258.939283634479,16.158357771260995,20.42044702057946,11.060716365520967,4.26208924931845,5.097641405740006,9.359730655058456,9.359730655058456,Fragment_4_Tremolo,"(700, 800]"
285.0,64,736,1,269.38905180840663,265.35224059725056,274.05104161819014,15.610948191593351,19.64775940274947,10.94895838180986,4.036811211156078,4.661989809783506,8.698801020939584,8.698801020939584,Fragment_4_Tremolo,"(700, 800]"
300.0,64,765,1,284.95601173020526,281.1841143437019,289.1624011638499,15.04398826979472,18.815885656298107,10.837598836150086,3.771897386503383,4.206389433644631,7.978286820148014,7.978286820148014,Fragment_4_Tremolo,"(700, 800]"
315.0,64,793,1,300.5034213098729,297.0178036155711,304.2659903942859,14.496578690127077,17.98219638442891,10.734009605714085,3.4856176943018227,3.7625690844129736,7.248186778714796,7.248186778714796,Fragment_4_Tremolo,"(700, 800]"
330.0,64,821,1,316.0508308895406,312.8814586122315,319.36598916736335,13.949169110459433,17.11854138776852,10.634010832636637,3.169372277309094,3.315158277822775,6.484530555131869,6.484530555131869,Fragment_4_Tremolo,"(800, 900]"
345.0,64,850,1,331.6177908113392,328.8075485724715,334.46603064337194,13.382209188660802,16.192451427528525,10.533969356628077,2.8102422388677155,2.848239832032732,5.6584820709004475,5.6584820709004475,Fragment_4_Tremolo,"(800, 900]"
0.0,55,50,1,-29.022482893450636,-29.95222301532017,-18.65514931605701,29.022482893450636,29.95222301532017,18.65514931605701,0.929740121869532,10.367333577393627,11.297073699263159,11.297073699263159,Fragment_5_Micropolyphonic,"(0, 100]"
5.0,60,900,1,-7.404692082111438,-9.5202569637344,-5.369233408372924,12.404692082111438,14.5202569637344,10.369233408372924,2.115564881622962,2.035458673738514,4.151023555361476,4.151023555361476,Fragment_5_Micropolyphonic,"(800, 900]"
10.0,64,100,1,-18.044965786901273,-19.808892061280673,-6.683577034496409,28.044965786901273,29.808892061280673,16.68357703449641,1.7639262743794006,11.361388752404864,13.125315026784264,13.125315026784264,Fragment_5_Micropolyphonic,"(0, 100]"
15.0,67,950,1,3.5728250244379254,2.2474914694193835,4.786603061721127,11.427174975562075,12.752508530580617,10.213396938278873,1.3253335550185419,1.2137780372832019,2.5391115923017438,2.5391115923017438,Fragment_5_Micropolyphonic,"(900, 1000]"
20.0,72,80,1,-8.435972629521018,-9.877690919219631,2.6797000057692486,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896986134,11.115672635290267,12.55739092498888,12.55739092498888,Fragment_5_Micropolyphonic,"(0, 100]"
25.0,76,1000,1,14.550342130987293,14.110793871932838,14.934452517671986,10.449657869012707,10.889206128067162,10.065547482328014,0.4395482590544546,0.3841103866846929,0.8236586457391475,0.8236586457391475,Fragment_5_Micropolyphonic,"(900, 1000]"
30.0,48,60,1,1.1730205278592365,0.06879885793895824,11.861474675125773,28.826979472140764,29.93120114206104,18.138525324874227,1.1042216699202783,10.688454147266537,11.792675817186815,11.792675817186815,Fragment_5_Micropolyphonic,"(0, 100]"
35.0,52,920,1,22.986314760508307,21.175375933203952,24.694114692182673,12.013685239491693,13.824624066796048,10.305885307817327,1.810938827304355,1.7077999316743657,3.5187387589787207,3.5187387589787207,Fragment_5_Micropolyphonic,"(900, 1000]"
40.0,79,70,1,11.36852394916911,10.093642889972472,22.299494239009366,28.63147605083089,29.90635711002753,17.700505760990634,1.2748810591966375,10.930970289840257,12.205851349036895,12.205851349036895,Fragment_5_Micropolyphonic,"(0, 100]"
45.0,84,980,1,34.159335288367544,33.3540064346043,34.876218652438475,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632426,0.7168833640709309,1.5222122178341735,1.5222122178341735,Fragment_5_Micropolyphonic,"(900, 1000]"
